# robots.txt para HazelTest
# Indica a los robots qué páginas pueden rastrear.

# User-agent: *
# El asterisco (*) significa que las siguientes reglas se aplican a TODOS los robots (Googlebot, Bingbot, etc.).
User-agent: *

# Disallow:
# Las siguientes líneas indican a los robots que NO deben rastrear (y por lo tanto, no indexar) estas páginas específicas.
Disallow: /contacto.html
Disallow: /creador.html
Disallow: /privacidad.html # Asegúrate que este sea el nombre exacto de tu archivo de política de privacidad
Disallow: /terminos-y-condiciones.html

# Allow:
# Permite el acceso al resto del sitio.
Allow: /

# Sitemap:
# Indica a los buscadores dónde encontrar el mapa del sitio XML.
Sitemap: https://hazeltest.com/sitemap.xml
